,county,state_code,region_code,highest_price,lowest_price,crash_amount
1033,Union County,13,291,194511.0,149682.0,0.23047025618088438
1034,Conway County,5,29,83562.0,75074.0,0.10157727196572605
1035,Putnam County,13,237,207400.0,162306.0,0.21742526518804242
1036,Washington County,13,303,73432.0,57105.0,0.2223417583614773
1037,Crook County,41,13,239102.0,173135.0,0.27589480640061564
1038,Warren County,37,185,119594.0,93326.0,0.21964312590932655
1039,Fillmore County,27,45,149011.0,120906.0,0.18861023682815362
1040,Carroll County,19,27,100513.0,97948.0,0.02551908708326286
1041,Saunders County,31,155,148062.0,145762.0,0.015534033040212884
1042,Polk County,5,113,75590.0,70797.0,0.06340785818229924
1043,Polk County,37,149,171353.0,152860.0,0.10792340956971865
1044,Hubbard County,27,57,165134.0,140799.0,0.14736517010427894
1045,Buena Vista County,19,21,91718.0,87460.0,0.046424911140670315
1046,McIntosh County,40,91,75087.0,69629.0,0.07268901407700401
1047,Kent County,24,29,270413.0,205018.0,0.2418337875767807
1048,Elbert County,13,105,84614.0,65740.0,0.22306001370931525
1049,Carroll County,18,15,110373.0,101623.0,0.07927663468420719
1050,Woodward County,40,153,83917.0,76233.0,0.09156666706388455
1051,Breckinridge County,21,27,91524.0,77088.0,0.15772912023075913
1052,Bourbon County,21,17,116589.0,111084.0,0.04721714741527931
1053,Allen County,21,3,73441.0,71013.0,0.0330605520077341
1054,Holmes County,12,59,99317.0,59648.0,0.39941802511151164
1055,Paulding County,39,125,86601.0,70305.0,0.18817334672809782
1056,Berrien County,13,19,86622.0,66250.0,0.23518274803167785
1057,Madison County,12,79,99056.0,59141.0,0.40295388467129706
1058,Smith County,47,159,102490.0,93644.0,0.08631085959605815
1059,Union County,47,173,109406.0,98676.0,0.09807505986874578
1060,Arkansas County,5,1,68770.0,63287.0,0.0797295332266977
1061,Poweshiek County,19,157,121589.0,115116.0,0.05323672371678359
1062,Haywood County,47,75,88369.0,77851.0,0.11902363951159343
1063,Pierce County,13,229,110124.0,85721.0,0.22159565580618212
1064,Dekalb County,47,41,115871.0,105769.0,0.08718316058375263
1065,Southampton County,51,175,155724.0,132168.0,0.15126762734067967
1066,Humphreys County,47,85,99303.0,90107.0,0.09260546005659447
1067,Drew County,5,43,85372.0,73121.0,0.14350138218619687
1068,Banks County,13,11,162068.0,121727.0,0.24891403608361923
1069,Schuyler County,36,97,112764.0,100352.0,0.11007058990457948
1070,Lamar County,13,171,117586.0,91521.0,0.2216675454560917
1071,Unicoi County,47,171,95247.0,86868.0,0.08797127468581688
1072,Johnson County,47,91,93358.0,81410.0,0.12798046230639046
1073,Appling County,13,1,73080.0,57809.0,0.20896278051450465
1074,Hart County,21,99,73825.0,69987.0,0.05198780900778869
1075,Fentress County,47,49,77122.0,69667.0,0.09666502424729649
1076,Cross County,5,37,79686.0,70705.0,0.11270486660141053
1077,Morgan County,13,211,212495.0,166990.0,0.21414621520506366
1078,Yancey County,37,199,160707.0,141820.0,0.11752443888567393
1079,Ben Hill County,13,17,67019.0,53557.0,0.2008684104507677
1080,Benzie County,26,19,165997.0,120792.0,0.2723241986300957
1081,Lawrence County,5,75,51562.0,49226.0,0.04530468174236841
1082,Henry County,1,67,102303.0,90428.0,0.11607675239240296
1083,Van Buren County,5,141,78806.0,74284.0,0.05738141765855392
1084,Andrew County,29,3,144717.0,128367.0,0.11297912477456
1085,Sharp County,5,135,67687.0,62822.0,0.07187495383160725
1086,Cook County,13,75,85238.0,63874.0,0.2506393861892583
1087,Pitkin County,8,97,881504.0,822267.0,0.06719992195157368
1088,Chester County,47,23,104935.0,95046.0,0.09423929098966026
1089,Wayne County,47,181,65846.0,59331.0,0.09894298818455183
1090,Gilchrist County,12,41,164411.0,102141.0,0.3787459476555705
1091,Jefferson County,13,163,64564.0,47173.0,0.26936063440926833
1092,Garrard County,21,79,119366.0,114961.0,0.036903305798971234
1093,Lawrence County,17,101,37935.0,28875.0,0.2388295769078687
1094,Polk County,47,139,90796.0,81063.0,0.10719635226221419
1095,Seward County,31,159,154171.0,142634.0,0.07483249119484209
1096,Dade County,13,83,125256.0,96110.0,0.23269144791467075
1097,Barbour County,54,1,55903.0,42781.0,0.23472801101908664
1098,Pawnee County,40,117,60908.0,56005.0,0.08049845668877652
1099,Dukes County,25,7,678742.0,607285.0,0.10527858891891174
1100,Telfair County,13,271,52830.0,42997.0,0.18612530759038426
1101,Dixie County,12,29,100320.0,59579.0,0.4061104465709729
1102,Floyd County,19,67,95339.0,89633.0,0.059849589360073
1103,Rabun County,13,241,206901.0,157377.0,0.23936085374164456
1104,Brooks County,13,27,90962.0,75695.0,0.167839317517205
1105,Kanabec County,27,65,158136.0,127164.0,0.19585673091516162
1106,Park County,8,93,236839.0,206470.0,0.12822634785656079
1107,Clay County,5,21,41913.0,39189.0,0.06499176866366044
1108,Arenac County,26,11,89914.0,65847.0,0.2676668816869453
1109,Harrison County,39,67,66026.0,61658.0,0.0661557568230697
1110,Gulf County,12,45,241509.0,139173.0,0.42373576140019625
1111,Marshall County,40,95,81928.0,74367.0,0.09228835074699736
1112,Madison County,5,87,99545.0,84562.0,0.15051484253352754
1113,Las Animas County,8,71,111746.0,103597.0,0.07292431048986094
1114,Alamosa County,8,3,124837.0,116876.0,0.06377115758949671
1115,Henry County,21,103,131637.0,112330.0,0.14666848986227277
1116,Gunnison County,8,51,282243.0,257346.0,0.08821122224466152
1117,Choctaw County,40,23,54916.0,44399.0,0.19151067084274165
1118,Calhoun County,45,17,131048.0,116607.0,0.11019626396434894
1119,Jeff Davis County,13,161,71243.0,55217.0,0.2249484159847283
1120,Kingfisher County,40,73,102450.0,94382.0,0.07875061005368472
1121,Craig County,40,35,88907.0,77936.0,0.12339860753371501
1122,Nelson County,51,125,258819.0,206352.0,0.20271695663765024
1123,Cleburne County,1,29,117953.0,96890.0,0.1785711257873899
1124,Dooly County,13,93,72502.0,56378.0,0.22239386499682767
1125,Oglethorpe County,13,221,145124.0,111084.0,0.23455803313028858
1126,Pendleton County,21,191,114087.0,99260.0,0.12996222181317765
1127,Grand County,8,49,381923.0,341007.0,0.10713154222186147
1128,Hamilton County,12,47,93316.0,55289.0,0.40750782288139226
1129,Jefferson County,12,65,148839.0,88399.0,0.4060763643937409
1130,Macon County,13,193,53733.0,40200.0,0.2518564010942996
1131,Estill County,21,65,64746.0,59201.0,0.08564235628455812
1132,Screven County,13,251,78367.0,64810.0,0.17299373460767925
1133,Crockett County,47,33,78931.0,70733.0,0.10386286756787574
1134,Long County,13,183,161422.0,108651.0,0.3269133079753689
1135,Fleming County,21,69,77824.0,69754.0,0.10369551809210527
1136,McIntosh County,13,191,163306.0,118109.0,0.27676264191150357
1137,Manassas Park City,51,685,376866.0,263971.0,0.2995627092918969
1138,Newton County,18,111,101629.0,94684.0,0.06833679363173897
1139,Larue County,21,123,115020.0,98440.0,0.14414884367936012
1140,Sequatchie County,47,153,97521.0,88279.0,0.09476933173367788
1141,Clarke County,51,43,387797.0,314827.0,0.1881654577008074
1142,Jasper County,13,159,131587.0,102717.0,0.21939857280734418
1143,Martinsville City,51,690,70863.0,51466.0,0.27372535737973275
1144,Moffat County,8,81,152469.0,138538.0,0.09136939312253639
1145,Howard County,5,61,69458.0,62832.0,0.09539577874398918
1146,Grundy County,47,61,73027.0,64996.0,0.10997302367617456
1147,Kodiak Island Borough,2,150,247210.0,229403.0,0.07203187573318232
1148,Monroe County,54,63,52336.0,48410.0,0.07501528584530724
1149,Murray County,40,99,55261.0,50642.0,0.08358516856372487
1150,Ketchikan Gateway Borough,2,130,262702.0,246773.0,0.06063524449756759
1151,Stewart County,47,161,92931.0,84639.0,0.0892274913645608
1152,Madison County,51,113,269356.0,221326.0,0.1783142012800903
1153,Washington County,37,187,66867.0,56752.0,0.15127043235078588
1154,Bleckley County,13,23,88606.0,70188.0,0.20786402726677652
1155,Desha County,5,41,45703.0,39022.0,0.14618296391921756
1156,Caldwell County,21,33,59175.0,56337.0,0.04795944233206591
1157,Glades County,12,43,143487.0,83964.0,0.41483200568692635
1158,Bledsoe County,47,7,75074.0,67160.0,0.10541598955697046
1159,Haskell County,40,61,51162.0,48563.0,0.05079942144560416
1160,Powell County,21,197,80138.0,76220.0,0.04889066360528089
1161,Prowers County,8,99,62623.0,56163.0,0.10315698704948661
1162,Todd County,21,219,79149.0,75034.0,0.051990549469986984
1163,Northampton County,51,131,184977.0,156803.0,0.15231082783264946
1164,Falls Church City,51,610,711855.0,617953.0,0.13191169549978576
1165,Okfuskee County,40,107,59342.0,55730.0,0.060867513733948976
1166,Charlton County,13,49,95004.0,73588.0,0.225422087491053
1167,Edmonson County,21,61,90610.0,80755.0,0.10876282970974506
1168,Lewis County,47,101,86991.0,73796.0,0.15168235794507479
1169,Poquoson City,51,735,323726.0,278480.0,0.13976634561326554
1170,Pulaski County,13,235,82351.0,67045.0,0.18586295248388
1171,Rio Grande County,8,105,140295.0,122113.0,0.12959834634163728
1172,Blaine County,40,11,51799.0,43227.0,0.16548582018957894
1173,Heard County,13,149,103067.0,80890.0,0.21517071419562034
1174,Decatur County,47,39,68975.0,63025.0,0.08626313881841247
1175,Meigs County,47,121,123064.0,110122.0,0.10516479230319184
1176,Jackson County,47,87,74046.0,65654.0,0.11333495394754611
1177,Bath County,21,11,83884.0,75145.0,0.10417958132659387
1178,Noble County,40,103,72798.0,64008.0,0.12074507541415973
1179,Franklin County,12,37,347613.0,205011.0,0.41023206842091636
1180,Lancaster County,51,103,266725.0,225305.0,0.15529103008716844
1181,Chattahoochee County,13,53,55578.0,47619.0,0.14320414552520783
1182,Scott County,5,127,70256.0,63068.0,0.10231154634479618
1183,Alleghany County,37,5,141610.0,125668.0,0.11257679542405197
1184,Latimer County,40,77,65864.0,57674.0,0.12434713956030609
1185,Bacon County,13,5,60719.0,53867.0,0.11284770829559117
1186,Skamania County,53,59,283480.0,206714.0,0.27079864540708337
1187,Early County,13,99,68541.0,54887.0,0.19920923243022426
1188,Evans County,13,109,83982.0,65862.0,0.21576052011145244
1189,Candler County,13,43,91038.0,73655.0,0.19094224389815243
1190,Middlesex County,51,119,261629.0,233853.0,0.1061656009081562
1191,Johnston County,40,69,58961.0,55035.0,0.06658638761215041
1192,Alcona County,26,1,122853.0,82777.0,0.3262110001383768
1193,Owen County,21,187,101131.0,94398.0,0.06657701397197695
1194,Carroll County,21,41,86796.0,76794.0,0.11523572514862436
1195,Franklin County,19,69,75273.0,71874.0,0.04515563349408154
1196,Wilkes County,13,317,83239.0,67133.0,0.193491031848052
