GISJOIN,county_name,total,bachelors_degree,gini_index,median_household_income,median_age,white,black,native_american,asian,poverty,owned,occupied
G3101330,Pawnee County,2649,0.17082035306334373,0.449,46452,0.5,0.9656474141185353,0.0015100037750094375,0,0,0.18850574712643678,0.8338788870703764,0.7510755992624463
G3101350,Perkins County,2901,0.28079800498753116,0.4564,65543,0.5,0.9862116511547742,0.0013788348845225785,0.0013788348845225785,0,0.05033205173016428,0.7785016286644951,0.8492392807745505
G3101370,Phelps County,9100,0.23483521732208248,0.4328,59040,1.4,0.9638461538461538,0.0036263736263736266,0.002087912087912088,0.0015384615384615385,0.09558990679699932,0.717797695262484,0.9162365086813703
G3101390,Pierce County,7144,0.23172242874845106,0.4137,64511,0.8,0.9710246360582306,0.0020996640537514,0.0008398656215005599,0.006159014557670772,0.07972992386151415,0.7590999338186631,0.9204995431008224
G3101410,Platte County,33174,0.2176389526871842,0.4138,62305,0.6,0.9484536082474226,0.00539579188521131,0.004461325134141195,0.0075058780973051185,0.08666157372039725,0.7245693983162123,0.9392774230992456
G3101430,Polk County,5225,0.2182517866959868,0.368,67719,0.3,0.9730143540669857,0.001722488038277512,0.002488038277511962,0,0.07656341320864991,0.830896686159844,0.7459105779716467
G3101450,Red Willow County,10768,0.19089673913043478,0.4352,48808,1.1,0.9570022288261516,0.00612927191679049,0.003436106983655275,0.0007429420505200594,0.11745939675174014,0.7293649037397655,0.8486384976525821
G3101470,Richardson County,7961,0.19027008310249308,0.432,47917,1.1,0.9373194322321317,0.0020097977640999875,0.029393292299962317,0.0007536741615374953,0.12237044638276039,0.7589092872570194,0.8402903811252269
G3101490,Rock County,1414,0.2318271119842829,0.4407,56250,2.7,0.9695898161244696,0.01485148514851485,0.007779349363507779,0,0.053064275037369206,0.797752808988764,0.689922480620155
G3101510,Saline County,14270,0.17767756482525365,0.4154,51502,1.1,0.888156972669937,0.0248072880168185,0.002452697967764541,0.0196916608269096,0.15272344267228408,0.7060306379678107,0.8803345851826562
G3101530,Sarpy County,181232,0.3977742311176293,0.3868,82032,0.1,0.8740950825461287,0.03928666019246049,0.004971528206939172,0.025530811335746445,0.05949362847474285,0.6893902807123453,0.959469439175198
G3101550,Saunders County,21165,0.2544084088237328,0.4004,68682,0.6,0.9733522324592487,0.004913772738010867,0.00392156862745098,0.004205055516182376,0.08140592826701144,0.780731678626044,0.8769341860944915
G3101570,Scotts Bluff County,36074,0.22889670875595114,0.4517,49745,0.4,0.915950546099684,0.008898375561346122,0.01879469978377779,0.006569828685479847,0.1356216585143897,0.6694949769209884,0.8993345949575728
G3101590,Seward County,17171,0.2888847960217331,0.3952,70389,0.6,0.9638343719061208,0.0055908217343194925,0.0011647545279832275,0.004891969017529555,0.06488792664289353,0.7172727272727273,0.921916468780556
G3101610,Sheridan County,5231,0.22793326157158234,0.481,45371,1.2,0.8262282546358249,0.02083731600076467,0.08487860829669279,0.009176065761804627,0.17137330754352031,0.688077430708315,0.7827134986225895
G3101630,Sherman County,3033,0.20189274447949526,0.4203,50781,0.6,0.977909660402242,0.0016485328058028356,0.0003297065611605671,0.002967359050445104,0.12411467116357504,0.7719298245614035,0.7008196721311475
G3101650,Sioux County,1219,0.3058542413381123,0.3977,48269,11.5,0.9269893355209188,0.004101722723543888,0.004922067268252666,0,0.08531583264971287,0.7205882352941176,0.6774595267745953
G3101670,Stanton County,5957,0.17843957666748708,0.3545,63986,0.9,0.9674332717810978,0.014604666778579823,0,0.004868222259526607,0.062118126272912425,0.8205128205128205,0.8975501113585747
G3101690,Thayer County,5057,0.18811052190901478,0.4085,51821,0.4,0.9669764682618153,0.004943642475776152,0.003361676883527783,0,0.0971311475409836,0.785650623885918,0.8151107882310207
G3101710,Thomas County,645,0.24735729386892177,0.4467,59432,8.3,0.9503875968992248,0,0.009302325581395349,0,0.08372093023255814,0.7653429602888087,0.7048346055979644
G3101730,Thurston County,7181,0.16369278510473234,0.451,51034,0.3,0.3833727893051107,0.001949589193705612,0.5862693218214733,0.008216125887759365,0.2552442629874701,0.6084558823529411,0.8910728910728911
G3101750,Valley County,4206,0.24223187437353827,0.4328,55324,1.1,0.978601997146933,0.004755111745126011,0.00451735615786971,0,0.0941062333252486,0.7426273458445041,0.8098132870169344
G3101770,Washington County,20361,0.29902954808806487,0.4024,71430,0.8,0.9659152300967536,0.01085408378763322,0.0005402485143165856,0.0026030155689799124,0.0792469789273944,0.7825290164935859,0.9557449789817842
G3101790,Wayne County,9332,0.3235294117647059,0.443,56456,0.7,0.953493356193742,0.014466352336048007,0.0015002143163309043,0.0046078011144449205,0.12232453957192634,0.6413160733549083,0.9411167512690355
G3101810,Webster County,3537,0.2304560260586319,0.484,46188,0.4,0.9541984732824428,0.0028272547356516823,0.009047215154085382,0,0.10791157649796393,0.79628400796284,0.7910761154855643
