,county,GISJOIN,highest_price,lowest_price,crash_amount
367,Johnson County,G1800810,152247.0,138333.0,0.09139096336873632
368,Rowan County,G3701590,133064.0,114899.0,0.13651325677869297
369,Clark County,G3900230,110218.0,91075.0,0.17368306447222776
370,Indian River County,G1200610,277839.0,131388.0,0.5271074255234146
371,Hampton City,G5106500,203015.0,152591.0,0.2483757357830702
372,Florence County,G4500410,125919.0,113813.0,0.09614117011729763
373,Fayette County,G4200510,99542.0,89474.0,0.10114323602097607
374,Dorchester County,G4500350,229311.0,156520.0,0.3174335291372852
375,Napa County,G0600550,634321.0,353384.0,0.4428940552180994
376,Calhoun County,G2600250,126643.0,86117.0,0.32000189509092486
377,Humboldt County,G0600230,316057.0,220661.0,0.30183163163606563
378,Coconino County,G0400050,379657.0,239157.0,0.3700708797677904
379,Orange County,G3701350,289132.0,244411.0,0.15467329800921378
380,Douglas County,G1300970,200877.0,99372.0,0.5053092190743589
381,Washington County,G5501310,218316.0,172063.0,0.21186262115465657
382,Berkshire County,G2500030,252383.0,202045.0,0.19945083464417176
383,Scott County,G2701390,309733.0,213495.0,0.31071277519670165
384,Stafford County,G5101790,440772.0,265990.0,0.39653607760928555
385,Hunterdon County,G3400190,479080.0,352422.0,0.2643775569842198
386,Coweta County,G1300770,202782.0,151650.0,0.25215255791934194
387,Blair County,G4200130,111809.0,91889.0,0.17816097094151634
388,Washington County,G4400090,435358.0,312476.0,0.28225506364876723
389,Wood County,G3901730,162590.0,135445.0,0.166953687188634
390,Wright County,G2701710,265647.0,160490.0,0.39585239057847443
391,Richland County,G3901390,116820.0,77654.0,0.3352679335730183
392,Columbia County,G1300730,198396.0,171282.0,0.1366660618157624
393,Strafford County,G3300170,268483.0,183655.0,0.31595296536465994
394,Wayne County,G3701910,124806.0,110308.0,0.11616428697338269
395,Spotsylvania County,G5101770,374686.0,207736.0,0.4455730932033756
396,Kennebec County,G2300110,158051.0,140471.0,0.111229919456378
397,Pickens County,G4500770,152507.0,127496.0,0.16399902955274184
398,Boone County,G2100150,183559.0,164396.0,0.10439695138892673
399,Windham County,G0900150,231491.0,161405.0,0.3027590705470191
400,Skagit County,G5300570,309340.0,223501.0,0.2774907868364906
401,Clarke County,G1300590,154185.0,112505.0,0.27032461004637287
402,Kendall County,G1700930,247882.0,160614.0,0.3520546066273469
403,La Crosse County,G5500630,153780.0,143239.0,0.06854597476915074
404,Wayne County,G3901690,176132.0,149349.0,0.15206208979628916
405,Wilson County,G4701890,227837.0,200282.0,0.12094172588297775
406,Cache County,G4900050,201379.0,173445.0,0.13871356993529613
407,Saint Lawrence County,G3600890,80718.0,71382.0,0.11566193414108378
408,Allegan County,G2600050,158408.0,119813.0,0.2436429978283925
409,Macon County,G1701150,98561.0,84243.0,0.14527044165542152
410,Carroll County,G1300450,129176.0,97489.0,0.24530098470304082
411,Clark County,G1800190,123263.0,107969.0,0.12407616235204401
412,Missoula County,G3000630,271704.0,235059.0,0.13487103612755058
413,Lowndes County,G1301850,140000.0,107293.0,0.23362142857142856
414,Warren County,G3400410,332442.0,203265.0,0.3885700362770047
415,Columbiana County,G3900290,91075.0,79378.0,0.1284326104858633
416,Bay County,G2600170,113117.0,83188.0,0.26458445680136494
417,Androscoggin County,G2300010,174546.0,148487.0,0.14929588761701787
418,Douglas County,G4100190,222865.0,149797.0,0.32785767168465213
419,Navajo County,G0400170,194307.0,133167.0,0.3146567030523862
420,Fayette County,G1301130,273498.0,197162.0,0.27910990208337905
421,Allen County,G3900030,110660.0,87997.0,0.2047984818362552
422,Hardin County,G2100930,129376.0,122071.0,0.05646333168439278
423,Saint Marys County,G2400370,362830.0,262262.0,0.2771766391974203
424,Etowah County,G0100550,86771.0,78675.0,0.09330306208295398
425,Bonneville County,G1600190,174379.0,132511.0,0.24009771818854334
426,Craven County,G3700490,180472.0,150986.0,0.16338268540272174
427,Whitfield County,G1303130,129354.0,98065.0,0.24188660574856596
428,Miami County,G3901090,143216.0,123137.0,0.14020081555133504
429,Walworth County,G5501270,214167.0,151354.0,0.2932898158913371
430,Ashtabula County,G3900070,105412.0,95241.0,0.09648806587485295
431,Adams County,G4200010,225633.0,200589.0,0.11099440241454042
432,Cecil County,G2400150,288433.0,205613.0,0.28713774082715915
433,Bartow County,G1300150,148298.0,111125.0,0.2506642031585052
434,Newton County,G1302170,113341.0,75688.0,0.33220987991988776
435,Lenawee County,G2600910,147438.0,105622.0,0.28361752058492384
436,Hanover County,G5100850,301505.0,233358.0,0.22602278569177958
437,Putnam County,G3600790,433692.0,307195.0,0.2916747369100652
438,Cass County,G2900370,165230.0,131763.0,0.202547963444895
439,Yamhill County,G4100710,273784.0,196028.0,0.2840049089793414
440,Steuben County,G3601010,108277.0,90431.0,0.16481801305909843
441,Albemarle County,G5100030,380959.0,305044.0,0.19927341262445564
442,Bradley County,G4700110,142467.0,121637.0,0.146209297591723
443,Highlands County,G1200550,177741.0,85357.0,0.5197675269071289
444,Nevada County,G0600570,487342.0,293648.0,0.39744984015332147
445,Wicomico County,G2400450,193459.0,120409.0,0.37759938798401727
446,Madison County,G4701130,119727.0,97823.0,0.18294954354489798
447,Cleveland County,G3700450,151279.0,122035.0,0.19331169560877584
448,Cape May County,G3400090,449760.0,350655.0,0.2203508537886873
449,Daviess County,G2100590,110955.0,99822.0,0.10033797485467082
450,Floyd County,G1301150,110469.0,84632.0,0.23388461921444026
451,Monongalia County,G5400610,162172.0,137049.0,0.1549157684433811
452,Garland County,G0500510,142424.0,120266.0,0.1555777116216368
453,Flagler County,G1200350,288292.0,143817.0,0.5011412040569978
454,Portsmouth City,G5107400,168359.0,129012.0,0.2337089196300762
455,Sutter County,G0601010,302351.0,177957.0,0.41142248578638735
456,Dougherty County,G1300950,82462.0,64847.0,0.21361354320778056
457,Montgomery County,G5101210,222773.0,181893.0,0.1835051824054082
458,Wayne County,G3601170,125665.0,107483.0,0.1446862690486611
459,Rockingham County,G3701570,105556.0,89419.0,0.15287619841600666
460,Sumter County,G1201190,248768.0,191594.0,0.22982859531772576
461,Geauga County,G3900550,225422.0,190724.0,0.1539246391212925
462,Tuscarawas County,G3901570,176074.0,105668.0,0.39986596544634645
463,Orangeburg County,G4500750,89394.0,78451.0,0.12241313734702552
464,Roanoke County,G5101610,194113.0,166146.0,0.1440758733315131
465,Lawrence County,G4200730,104638.0,89128.0,0.14822531011678358
466,Carver County,G2700190,323191.0,231917.0,0.28241504249808935
467,Campbell County,G2100370,156177.0,124582.0,0.20230251573535155
468,Sevier County,G4701550,208984.0,166496.0,0.2033074302338935
469,Platte County,G2901650,208680.0,169544.0,0.1875407322215833
470,Grafton County,G3300090,201084.0,172441.0,0.1424429591613455
471,Matanuska Susitna Borough,G0201700,251383.0,229879.0,0.08554277735566844
472,Crawford County,G4200390,91411.0,82728.0,0.09498856811543469
473,Calvert County,G2400090,424235.0,301253.0,0.28989121595342204
474,Sherburne County,G2701410,250188.0,139695.0,0.44163988680512256
475,Mendocino County,G0600450,418663.0,283073.0,0.3238643013593272
476,Grand Traverse County,G2600550,176932.0,145685.0,0.17660457124771098
477,Wood County,G5401070,93962.0,90747.0,0.03421595964326004
478,Rogers County,G4001310,191818.0,164146.0,0.14426174811540105
479,Ozaukee County,G5500890,262159.0,205180.0,0.21734519890600743
480,Muskingum County,G3901190,103733.0,93082.0,0.1026770651576644
481,Rockdale County,G1302470,186318.0,88586.0,0.5245440590817849
482,Suffolk City,G5108000,269202.0,221795.0,0.17610196060950514
483,Saint Croix County,G5501090,189415.0,156416.0,0.17421534725338542
484,Walton County,G1302970,215524.0,108162.0,0.49814405820233476
485,Jefferson County,G5500550,157162.0,136315.0,0.1326465685089271
486,Midland County,G2601110,133034.0,108101.0,0.18741825398018552
487,Caldwell County,G3700270,127102.0,114220.0,0.10135167031203285
488,Madison County,G2101510,147711.0,139306.0,0.05690165255126565
489,Newport County,G4400050,467828.0,335553.0,0.2827428029104714
490,Josephine County,G4100330,284927.0,203055.0,0.28734377577414566
491,Talladega County,G0101210,104096.0,91640.0,0.11965877651398708
492,Clearfield County,G4200330,84204.0,79550.0,0.05527053346634364
493,Vermilion County,G1701830,69623.0,55977.0,0.19599844878847508
494,Manitowoc County,G5500710,123740.0,107337.0,0.13256020688540487
495,Maury County,G4701190,166503.0,133627.0,0.1974498957976733
496,Cattaraugus County,G3600090,110160.0,93828.0,0.1482570806100218
497,Raleigh County,G5400810,83157.0,75322.0,0.09421936818307539
498,Frederick County,G5100690,323694.0,201143.0,0.37860139514479724
499,Lincoln County,G3701090,187522.0,165499.0,0.1174422201128401
500,Franklin County,G5300210,169511.0,127526.0,0.247683041218564
501,Ross County,G3901410,98044.0,90742.0,0.07447676553384194
502,Jefferson County,G0500690,57685.0,54503.0,0.055161653809482535
503,Kosciusko County,G1800850,152873.0,137222.0,0.10237909899066545
